Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Title,Hire_Date,Years_at_Company,Years_in_Current_Role,Contract_Type,TechniqueSkill,RemoteWork,Evaluation_Period,Performance_Score,ProjectType,ProjectSuccessRate,Salary,Promotion_Within_Last_2_Years,Training_Recommendation,EmpEnvironmentSatisfaction,EmpJobSatisfaction,BurnoutRiskLevel,Attrition
E0011,31,Female,Single,Bachelor,QA,QA Engineer,7/15/2011,14,15,Full-time,"Python, Docker",No,Q1/2025,2.6,Cybersecurity Implementation,53.6,59,No,Yes,4,2,Low,No
E0012,30,Male,Single,Master,Marketing,Business Analyst,3/1/2020,5,6,Full-time,"Java, React",Yes,Q1/2025,3.9,Cybersecurity Implementation,61.0,31,No,No,2,4,Low,No
E0013,24,Male,Married,Master,Sales,Account Manager,6/21/2015,10,11,Full-time,"C#, React, Angular, SQL, Python",Yes,Q1/2025,2.9,DevOps Automation,91.9,62,Yes,Yes,4,5,High,Yes
E0014,35,Female,Single,Bachelor,HR,HR Executive,9/10/2023,2,5,Full-time,"Docker, Java, Azure",Yes,Q1/2025,4.0,API Development,66.3,15,No,No,5,5,Low,No
E0015,31,Male,Married,Bachelor,Sales,Account Manager,8/23/2021,4,6,Full-time,"Kubernetes, Vue.js, Java, Python",Yes,Q1/2025,3.6,API Development,81.1,26,No,No,3,2,High,No
E0016,28,Female,Married,Bachelor,HR,Recruiter,2/22/2017,8,9,Full-time,"GCP, AWS",Yes,Q1/2025,4.1,Data Analytics Platform,75.8,27,No,No,5,2,Low,No
E0017,34,Female,Married,Bachelor,QA,Test Analyst,11/5/2012,13,16,Full-time,"Java, GCP",Yes,Q1/2025,4.3,AI/ML Model Deployment,65.7,45,No,No,3,2,Medium,No
E0018,32,Female,Single,College,IT,DevOps Engineer,3/5/2010,15,18,Part-time,"Docker, C#, Python",Yes,Q1/2025,4.0,Cybersecurity Implementation,79.6,50,No,No,1,3,Medium,No
E0019,27,Female,Single,Bachelor,HR,HR Executive,4/28/2015,10,11,Contractor,"Docker, Python, C#",No,Q1/2025,3.7,Cybersecurity Implementation,57.6,50,No,No,1,4,High,No
E0020,36,Female,Single,Master,Marketing,Digital Marketer,5/9/2015,10,11,Part-time,"React, Python, GCP",Yes,Q1/2025,2.6,API Development,86.3,50,No,Yes,5,4,Medium,No
E0021,25,Female,Single,College,Sales,Sales Executive,12/27/2010,15,18,Full-time,"Vue.js, SQL, NoSQL, Docker, AWS",Yes,Q1/2025,4.3,AI/ML Model Deployment,53.4,35,No,No,5,5,Medium,No
E0022,34,Female,Married,Bachelor,Marketing,Content Specialist,6/16/2013,12,14,Contractor,"GCP, Java, Angular, AWS",Yes,Q1/2025,3.0,Mobile App Design,56.5,59,No,Yes,2,2,Low,No
E0023,29,Female,Married,Master,Finance,Finance Manager,7/15/2024,1,1,Full-time,"Angular, NoSQL",Yes,Q1/2025,4.4,Web Application Development,63.1,12,No,Yes,5,4,Medium,No
E0024,30,Female,Married,Bachelor,Sales,Account Manager,6/26/2013,12,13,Part-time,"GCP, Angular, React",No,Q1/2025,2.9,AI/ML Model Deployment,85.1,84,No,Yes,5,1,Low,No
E0025,30,Female,Married,Master,Marketing,Digital Marketer,7/26/2017,8,9,Full-time,"NoSQL, Java",No,Q1/2025,4.2,Web Application Development,46.3,24,No,No,1,4,Low,No
E0026,35,Male,Married,Bachelor,Sales,Account Manager,12/13/2018,7,9,Part-time,"C#, SQL, Kubernetes, GCP, Angular",No,Q1/2025,3.5,Cybersecurity Implementation,54.2,30,No,No,3,2,Low,No
E0027,30,Male,Married,Bachelor,HR,Recruiter,12/14/2018,7,9,Full-time,"Docker, NoSQL",Yes,Q1/2025,4.4,AI/ML Model Deployment,45.5,24,No,No,4,5,High,No
E0028,25,Male,Married,Bachelor,Marketing,Content Specialist,2/10/2021,4,6,Full-time,"Docker, AWS, SQL, Azure, React",Yes,Q1/2025,4.3,Web Application Development,76.0,18,No,No,4,2,Medium,No
E0029,25,Female,Divorced,Bachelor,Marketing,Business Analyst,7/16/2018,7,7,Full-time,"C#, Kubernetes, NoSQL, Python, Angular",Yes,Q1/2025,3.5,DevOps Automation,84.5,30,No,No,4,3,Medium,No
E0030,27,Female,Single,College,IT,Software Engineer,6/12/2014,11,11,Full-time,"NoSQL, GCP",Yes,Q1/2025,3.3,Cybersecurity Implementation,64.2,59,No,Yes,2,2,Low,No
E0031,27,Male,Married,Bachelor,Sales,Account Manager,6/7/2022,3,4,Full-time,"NoSQL, C#",No,Q1/2025,3.5,Data Analytics Platform,48.2,18,No,No,4,4,High,No
E0032,29,Male,Married,Master,HR,HR Executive,9/16/2020,5,7,Full-time,"NoSQL, Azure",No,Q1/2025,2.6,DevOps Automation,81.7,21,No,Yes,3,1,Medium,No
E0033,30,Female,Single,PhD,QA,Test Analyst,2/22/2017,8,9,Full-time,"Azure, AWS, Kubernetes, GCP",Yes,Q1/2025,5.0,Cybersecurity Implementation,80.2,33,No,No,4,2,Medium,No
E0034,22,Female,Married,Bachelor,Marketing,Digital Marketer,1/11/2021,4,6,Full-time,"NoSQL, Angular, Vue.js, SQL",No,Q1/2025,2.3,Cybersecurity Implementation,70.9,17,No,Yes,4,4,Medium,No
E0035,40,Male,Single,Master,Marketing,Content Specialist,8/25/2019,6,8,Full-time,"SQL, React, Angular, Azure, Vue.js",Yes,Q1/2025,4.5,Mobile App Design,81.6,30,No,No,3,4,Low,Yes
E0036,26,Male,Single,Bachelor,IT,DevOps Engineer,1/1/2011,14,16,Full-time,"Angular, SQL, Azure, AWS, NoSQL",No,Q1/2025,4.6,Data Analytics Platform,70.8,49,No,No,3,1,Medium,No
E0037,25,Male,Single,College,Sales,Sales Executive,8/2/2023,2,2,Part-time,"Java, Python, Azure, Angular, Kubernetes",Yes,Q1/2025,3.8,AI/ML Model Deployment,42.5,14,No,No,4,1,Medium,No
E0038,24,Male,Single,Bachelor,IT,DevOps Engineer,6/24/2014,11,12,Part-time,"Java, React, NoSQL, AWS",No,Q1/2025,3.6,Mobile App Design,32.6,42,No,No,3,5,High,No
E0039,33,Male,Married,Bachelor,QA,QA Engineer,7/5/2020,5,7,Full-time,"GCP, Java, C#, React",Yes,Q1/2025,3.2,AI/ML Model Deployment,61.5,34,No,Yes,5,4,Low,No
E0040,28,Male,Married,Master,Marketing,Content Specialist,7/3/2013,12,13,Full-time,"NoSQL, GCP, Azure, React",Yes,Q1/2025,3.2,Cloud Migration,93.3,46,No,Yes,1,1,Low,No
E0041,26,Male,Married,Bachelor,Sales,Account Manager,12/18/2020,5,5,Full-time,"SQL, Docker, Angular, AWS",Yes,Q1/2025,3.6,AI/ML Model Deployment,56.3,44,No,No,5,3,Low,No
E0042,23,Male,Married,Master,Finance,Accountant,9/23/2024,1,1,Full-time,"Kubernetes, AWS, GCP",Yes,Q1/2025,3.8,Mobile App Design,79.5,11,No,Yes,1,4,Low,No
E0043,30,Male,Married,Master,Sales,Account Manager,8/24/2021,4,5,Full-time,"NoSQL, AWS, Python, Kubernetes, Java",Yes,Q1/2025,4.1,Mobile App Design,50.9,28,No,No,1,5,Low,No
E0044,25,Male,Married,Bachelor,Marketing,Business Analyst,7/15/2021,4,5,Full-time,"Angular, AWS, C#",No,Q1/2025,4.1,API Development,59.6,19,No,No,5,2,Medium,No
E0045,31,Male,Single,Bachelor,HR,HR Executive,10/8/2012,13,16,Contractor,"Kubernetes, SQL, Angular",Yes,Q1/2025,4.0,Web Application Development,89.7,59,No,No,5,2,Low,No
E0046,34,Female,Married,Master,IT,System Admin,12/1/2011,14,16,Full-time,"Vue.js, AWS, Angular, Python, GCP",No,Q1/2025,4.1,Cloud Migration,73.1,40,No,No,3,3,Medium,No
E0047,29,Female,Single,Bachelor,HR,HR Executive,8/16/2011,14,17,Full-time,"Python, Vue.js, Kubernetes, Docker, Azure",No,Q1/2025,2.6,Web Application Development,51.1,37,No,Yes,5,3,High,Yes
E0048,33,Female,Single,Bachelor,Marketing,Content Specialist,6/15/2013,12,13,Full-time,"Java, Kubernetes, Angular",Yes,Q1/2025,3.8,API Development,85.3,52,No,No,5,4,High,No
E0049,27,Female,Married,Bachelor,Finance,Accountant,2/9/2016,9,9,Full-time,"React, SQL, Java, Docker",No,Q1/2025,3.1,Cloud Migration,94.5,29,No,Yes,1,1,Low,No
E0050,39,Male,Single,Bachelor,HR,Recruiter,6/28/2016,9,10,Full-time,"C#, NoSQL, Java",No,Q1/2025,5.0,Web Application Development,94.9,25,No,No,4,3,Low,Yes
E0051,32,Female,Married,Bachelor,Sales,Sales Executive,1/19/2010,15,17,Full-time,"Azure, Angular, GCP, Docker",No,Q1/2025,2.9,Cybersecurity Implementation,79.0,53,No,Yes,1,2,Low,No
E0052,29,Male,Single,Bachelor,IT,IT Support,2/28/2012,13,15,Full-time,"Azure, SQL",Yes,Q1/2025,3.8,DevOps Automation,70.2,45,No,No,5,3,Medium,No
E0053,28,Female,Married,Master,QA,QA Engineer,10/18/2020,5,6,Full-time,"NoSQL, Kubernetes, Python, Azure",Yes,Q1/2025,5.0,Data Analytics Platform,28.7,21,No,No,2,2,Low,No
E0054,22,Female,Divorced,Bachelor,Sales,Sales Executive,11/29/2017,8,10,Contractor,"NoSQL, Angular, Vue.js, Java, Kubernetes",No,Q1/2025,3.8,Mobile App Design,87.6,20,No,No,4,1,Low,No
E0055,29,Male,Single,Master,Sales,Account Manager,2/10/2012,13,16,Full-time,"Java, GCP, React, Kubernetes",Yes,Q1/2025,4.2,Cybersecurity Implementation,77.7,67,Yes,No,4,3,Medium,No
E0056,30,Male,Single,College,Marketing,Content Specialist,2/17/2021,4,5,Full-time,"Docker, Kubernetes, Vue.js",No,Q1/2025,3.3,Cloud Migration,52.8,13,No,Yes,4,5,Low,No
E0057,27,Female,Single,Bachelor,Marketing,Digital Marketer,1/15/2019,6,8,Part-time,"GCP, Vue.js",Yes,Q1/2025,4.3,AI/ML Model Deployment,73.1,32,No,No,1,4,Low,No
E0058,30,Male,Married,PhD,IT,System Admin,7/7/2022,3,4,Contractor,"Java, AWS, React",Yes,Q1/2025,4.2,Cloud Migration,89.5,17,No,No,1,3,High,No
E0059,23,Male,Single,Bachelor,HR,HR Executive,5/19/2014,11,12,Part-time,"Python, Vue.js, React",Yes,Q1/2025,3.3,Data Analytics Platform,88.8,56,No,Yes,4,5,Low,No
E0060,32,Male,Single,Bachelor,Finance,Accountant,4/11/2013,12,14,Full-time,"SQL, GCP",Yes,Q1/2025,4.1,AI/ML Model Deployment,53.5,52,No,No,4,1,Low,No
E0061,22,Female,Single,College,Finance,Accountant,3/27/2018,7,7,Full-time,"Docker, Azure, AWS, Angular",Yes,Q1/2025,4.1,API Development,87.0,32,No,No,5,2,Low,No
E0062,31,Female,Single,Master,Marketing,Digital Marketer,9/13/2012,13,13,Full-time,"Vue.js, GCP, Angular, NoSQL, C#",No,Q1/2025,3.1,API Development,55.6,54,Yes,Yes,1,3,Medium,No
E0063,29,Female,Married,Bachelor,Sales,Sales Executive,8/1/2023,2,4,Full-time,"SQL, Python, Angular, Azure, GCP",Yes,Q1/2025,3.4,Cloud Migration,31.2,16,No,Yes,1,3,Medium,No
E0064,40,Male,Married,Bachelor,Marketing,Business Analyst,9/3/2016,9,12,Full-time,"Azure, GCP",No,Q1/2025,5.0,Cloud Migration,94.5,20,No,No,3,3,Low,Yes
E0065,33,Male,Single,Bachelor,IT,DevOps Engineer,11/27/2016,9,11,Full-time,"Docker, NoSQL, Kubernetes",Yes,Q1/2025,2.8,DevOps Automation,91.6,31,No,Yes,5,1,High,Yes
E0066,28,Male,Married,College,IT,System Admin,3/3/2017,8,10,Full-time,"Azure, Kubernetes, Docker, Angular, React",No,Q1/2025,3.5,Mobile App Design,56.6,26,No,No,5,4,Medium,No
E0067,29,Male,Single,PhD,IT,Software Engineer,5/13/2021,4,4,Full-time,"NoSQL, C#, Angular",Yes,Q1/2025,4.1,Web Application Development,72.4,13,No,No,2,4,Medium,No
E0068,23,Male,Married,Bachelor,Sales,Sales Executive,8/6/2019,6,7,Part-time,"Docker, Python",Yes,Q1/2025,4.6,Mobile App Design,91.9,28,No,No,4,3,Low,No
E0069,30,Male,Single,Master,Finance,Financial Analyst,2/25/2014,11,11,Contractor,"Docker, Java",Yes,Q1/2025,4.1,API Development,57.5,45,No,No,3,2,Low,No
E0070,34,Male,Married,Bachelor,Finance,Accountant,7/7/2022,3,6,Full-time,"React, Java, C#",Yes,Q1/2025,3.3,API Development,88.4,19,No,Yes,4,4,Medium,No
E0071,38,Female,Single,Master,Finance,Finance Manager,9/21/2017,8,11,Part-time,"C#, Kubernetes, Java, SQL",Yes,Q1/2025,3.4,AI/ML Model Deployment,90.4,35,No,Yes,3,4,Low,Yes
E0072,28,Male,Married,College,IT,IT Support,3/29/2015,10,12,Full-time,"Kubernetes, Azure",No,Q1/2025,3.6,Cloud Migration,48.0,45,No,No,3,1,Medium,No
E0073,31,Male,Single,Bachelor,Marketing,Business Analyst,12/30/2011,14,14,Full-time,"Vue.js, Angular, Docker, GCP",No,Q1/2025,5.0,DevOps Automation,80.5,51,No,No,5,4,Low,No
E0074,39,Female,Married,Master,HR,Recruiter,6/7/2016,9,10,Full-time,"Vue.js, Angular, GCP",No,Q1/2025,3.1,API Development,66.8,31,No,Yes,3,2,Medium,Yes
E0075,28,Female,Married,Bachelor,Finance,Accountant,11/21/2022,3,5,Full-time,"Vue.js, Angular",Yes,Q1/2025,3.3,Web Application Development,70.6,14,No,Yes,2,2,Low,No
E0076,33,Female,Single,Master,QA,QA Engineer,8/17/2014,11,13,Full-time,"Azure, Docker, C#",Yes,Q1/2025,3.5,Web Application Development,87.4,52,No,No,2,4,Medium,No
E0077,40,Female,Married,Bachelor,HR,Recruiter,10/7/2015,10,10,Contractor,"Vue.js, GCP, Azure",No,Q1/2025,3.5,Mobile App Design,44.8,36,No,No,2,2,Medium,Yes
E0078,36,Male,Single,Bachelor,Sales,Sales Executive,8/18/2014,11,11,Part-time,"Angular, Java",No,Q1/2025,3.8,Cloud Migration,69.2,50,Yes,No,2,4,High,No
E0079,39,Female,Single,Bachelor,Sales,Sales Executive,8/10/2019,6,6,Contractor,"React, Python, Vue.js, Java",No,Q1/2025,4.0,Cloud Migration,76.9,30,Yes,No,4,2,Medium,Yes
E0080,28,Male,Married,Master,IT,System Admin,12/9/2019,6,8,Part-time,"Java, Angular, React, SQL, NoSQL",Yes,Q1/2025,4.2,API Development,56.7,34,No,No,4,5,Medium,No
E0081,24,Female,Married,Master,Sales,Account Manager,2/22/2011,14,14,Full-time,"Azure, Docker, C#",No,Q1/2025,3.9,API Development,65.8,60,No,No,5,5,Low,No
E0082,30,Female,Single,Bachelor,Sales,Account Manager,2/6/2013,12,14,Full-time,"Vue.js, React",No,Q1/2025,4.1,DevOps Automation,50.8,57,Yes,No,5,3,Medium,No
E0083,26,Male,Married,Bachelor,QA,Test Analyst,1/23/2018,7,8,Part-time,"SQL, Kubernetes",Yes,Q1/2025,3.3,Cybersecurity Implementation,90.2,25,No,Yes,3,5,Low,No
E0084,26,Female,Single,College,QA,QA Engineer,9/17/2016,9,10,Full-time,"GCP, Vue.js",Yes,Q1/2025,3.1,Mobile App Design,84.8,28,No,Yes,4,3,High,Yes
E0085,24,Female,Single,Master,Finance,Financial Analyst,2/14/2016,9,12,Full-time,"Docker, Azure",No,Q1/2025,4.6,DevOps Automation,95.0,22,Yes,No,3,3,Low,No
E0086,28,Female,Single,Bachelor,Marketing,Content Specialist,8/30/2018,7,8,Full-time,"Angular, GCP, Python, Java, Docker",Yes,Q1/2025,4.1,Cloud Migration,33.8,24,No,No,4,1,Low,No
E0087,29,Male,Married,Bachelor,Finance,Accountant,8/2/2010,15,15,Full-time,"Vue.js, Kubernetes, Java, Azure",Yes,Q1/2025,3.5,DevOps Automation,88.7,51,No,No,1,1,Medium,No
E0088,27,Female,Single,Bachelor,Sales,Account Manager,5/3/2024,1,4,Full-time,"SQL, Kubernetes, React, Java",Yes,Q1/2025,4.9,Cloud Migration,92.2,11,No,Yes,1,3,Medium,No
E0089,26,Female,Married,Bachelor,Sales,Sales Executive,6/20/2014,11,13,Full-time,"NoSQL, Vue.js, AWS",Yes,Q1/2025,4.0,Cybersecurity Implementation,88.4,50,No,No,3,5,Medium,No
E0090,35,Male,Divorced,Bachelor,IT,Software Engineer,10/24/2014,11,12,Full-time,"AWS, Docker, SQL, Azure, Java",Yes,Q1/2025,4.3,Web Application Development,59.0,60,No,No,3,2,High,No
E0091,25,Female,Married,Bachelor,HR,Recruiter,2/14/2014,11,12,Contractor,"Java, AWS",Yes,Q1/2025,4.3,DevOps Automation,91.0,48,No,No,5,3,Medium,No
E0092,46,Male,Married,Bachelor,HR,Recruiter,4/14/2012,13,16,Full-time,"Azure, NoSQL, C#",Yes,Q1/2025,4.2,AI/ML Model Deployment,81.1,47,Yes,No,5,3,Medium,Yes
E0093,31,Female,Single,Bachelor,Marketing,Business Analyst,11/22/2013,12,13,Full-time,"Kubernetes, React, GCP, Docker",Yes,Q1/2025,3.7,Cloud Migration,54.7,51,No,No,4,2,Low,No
E0094,35,Male,Married,Bachelor,Sales,Account Manager,6/7/2013,12,14,Full-time,"Vue.js, React",Yes,Q1/2025,3.9,Cybersecurity Implementation,65.0,68,Yes,No,3,4,High,No
E0095,22,Male,Divorced,Master,Sales,Account Manager,1/12/2016,9,9,Full-time,"AWS, Kubernetes, SQL, Angular, GCP",Yes,Q1/2025,4.0,Cybersecurity Implementation,47.2,28,No,No,1,1,Low,No
E0096,33,Female,Married,Bachelor,Sales,Sales Executive,12/26/2020,5,5,Full-time,"SQL, Vue.js, Docker, NoSQL",Yes,Q1/2025,4.0,DevOps Automation,92.2,28,No,No,4,5,Low,No
E0097,34,Female,Married,Bachelor,Finance,Accountant,7/10/2015,10,10,Contractor,"Vue.js, NoSQL, AWS, SQL, C#",Yes,Q1/2025,4.1,AI/ML Model Deployment,84.7,54,Yes,No,3,4,Medium,No
E0098,31,Male,Married,Bachelor,Finance,Financial Analyst,10/31/2019,6,7,Full-time,"Azure, Vue.js, AWS, GCP",Yes,Q1/2025,2.9,Web Application Development,83.5,21,No,Yes,1,4,Medium,No
E0099,35,Female,Married,Bachelor,IT,IT Support,11/29/2024,1,4,Contractor,"SQL, Python, Azure",Yes,Q1/2025,3.9,Cybersecurity Implementation,88.4,12,No,Yes,1,2,Low,No
E0100,29,Male,Single,Bachelor,Marketing,Business Analyst,10/2/2016,9,11,Contractor,"SQL, C#",Yes,Q1/2025,3.4,Web Application Development,83.8,35,No,Yes,2,4,High,No
E0101,22,Male,Single,Master,QA,Test Analyst,6/19/2019,6,6,Full-time,"Angular, AWS, NoSQL",Yes,Q1/2025,4.7,Cybersecurity Implementation,59.9,27,No,No,3,4,Low,No
E0102,22,Female,Married,Bachelor,IT,IT Support,1/23/2019,6,7,Part-time,"Angular, Python, NoSQL",No,Q1/2025,3.8,Web Application Development,78.5,35,No,No,4,2,Low,No
E0103,31,Female,Married,Bachelor,HR,HR Executive,5/13/2024,1,4,Full-time,"GCP, React, Python",Yes,Q1/2025,3.3,API Development,80.8,11,No,Yes,1,5,High,No
E0104,33,Male,Married,Master,Marketing,Digital Marketer,12/25/2014,11,13,Full-time,"Vue.js, Angular, GCP, Python",No,Q1/2025,2.9,AI/ML Model Deployment,85.8,51,No,Yes,2,1,High,Yes
E0105,28,Male,Single,Master,Sales,Sales Executive,3/13/2022,3,4,Full-time,"Vue.js, Angular",Yes,Q1/2025,4.1,Web Application Development,70.8,16,No,No,1,3,Low,No
E0106,30,Male,Single,Bachelor,QA,Test Analyst,7/7/2024,1,1,Full-time,"C#, Azure, GCP",No,Q1/2025,4.3,API Development,54.2,9,No,Yes,2,2,Low,No
E0107,26,Female,Single,Bachelor,Marketing,Digital Marketer,7/18/2014,11,11,Full-time,"Angular, GCP",Yes,Q1/2025,3.2,API Development,75.5,59,No,Yes,4,5,High,No
E0108,39,Female,Married,Bachelor,QA,Test Analyst,1/21/2018,7,8,Full-time,"C#, Kubernetes, NoSQL",Yes,Q1/2025,3.7,Web Application Development,72.2,31,No,No,2,2,Medium,Yes
E0109,28,Female,Married,Bachelor,Finance,Finance Manager,11/15/2019,6,8,Full-time,"Python, AWS",No,Q1/2025,3.4,Cloud Migration,88.2,37,No,Yes,4,1,Medium,No
E0110,23,Female,Single,Master,Marketing,Content Specialist,1/7/2017,8,8,Full-time,"Kubernetes, Azure, Python, AWS, NoSQL",No,Q1/2025,3.3,Mobile App Design,36.8,34,No,Yes,2,5,Low,No
E0111,23,Male,Married,Bachelor,IT,Software Engineer,6/13/2018,7,10,Full-time,"C#, NoSQL, GCP, Docker, Vue.js",No,Q1/2025,3.3,Mobile App Design,60.8,28,Yes,Yes,5,2,Medium,No
E0112,39,Male,Single,Bachelor,Finance,Accountant,1/18/2020,5,8,Contractor,"NoSQL, Python",No,Q1/2025,4.8,Mobile App Design,60.3,21,No,No,3,2,Low,Yes
E0113,26,Female,Married,Bachelor,QA,Test Analyst,10/30/2022,3,6,Full-time,"Java, Azure",Yes,Q1/2025,3.6,AI/ML Model Deployment,68.6,17,No,No,5,2,Medium,No
E0114,37,Female,Single,PhD,HR,Recruiter,10/11/2010,15,16,Full-time,"GCP, AWS, React",Yes,Q1/2025,3.1,Cloud Migration,37.7,38,No,Yes,5,4,Low,Yes
E0115,36,Male,Married,Bachelor,Finance,Financial Analyst,10/8/2013,12,12,Full-time,"Angular, Docker, C#",No,Q1/2025,3.5,Cybersecurity Implementation,59.8,59,No,No,2,4,High,No
E0116,36,Female,Divorced,Bachelor,HR,Recruiter,3/20/2020,5,5,Full-time,"GCP, Java, Kubernetes, Vue.js",Yes,Q1/2025,4.0,AI/ML Model Deployment,78.3,33,No,No,5,5,Low,No
E0117,22,Male,Married,Bachelor,QA,QA Engineer,6/8/2011,14,15,Full-time,"Angular, Python, React, GCP",No,Q1/2025,3.3,Cybersecurity Implementation,52.3,49,No,Yes,2,4,High,No
E0118,39,Female,Married,Bachelor,Finance,Finance Manager,1/23/2010,15,15,Full-time,"AWS, Kubernetes, SQL, Java",No,Q1/2025,3.8,Cybersecurity Implementation,63.9,51,No,No,1,5,High,Yes
E0119,27,Female,Single,Bachelor,Finance,Finance Manager,4/22/2011,14,16,Full-time,"React, Vue.js, NoSQL",Yes,Q1/2025,4.2,Web Application Development,85.2,72,No,No,3,3,Medium,No
E0120,32,Male,Married,Master,Marketing,Content Specialist,5/16/2021,4,4,Full-time,"C#, AWS, GCP, Python, SQL",Yes,Q1/2025,1.7,AI/ML Model Deployment,39.1,12,No,Yes,2,1,Medium,No
E0121,27,Male,Married,Bachelor,Finance,Finance Manager,1/16/2024,1,4,Full-time,"Python, AWS",Yes,Q1/2025,4.3,Data Analytics Platform,43.8,11,No,Yes,1,5,Medium,No
E0122,38,Female,Married,Master,IT,Software Engineer,2/10/2011,14,15,Full-time,"Azure, AWS, Angular",No,Q1/2025,3.2,API Development,97.7,40,No,Yes,4,5,Low,Yes
E0123,37,Female,Single,Master,IT,Software Engineer,11/19/2012,13,13,Full-time,"AWS, Kubernetes, Python, GCP, C#",Yes,Q1/2025,4.3,DevOps Automation,60.9,44,No,No,1,5,High,Yes
E0124,34,Male,Married,Bachelor,Finance,Financial Analyst,9/16/2014,11,11,Full-time,"GCP, Angular",No,Q1/2025,4.4,Cloud Migration,76.8,43,Yes,No,2,5,Low,No
E0125,24,Female,Married,Master,Sales,Sales Executive,9/27/2014,11,14,Full-time,"GCP, AWS, Vue.js, Docker, C#",No,Q1/2025,2.6,DevOps Automation,58.4,46,Yes,Yes,2,1,Low,No
E0126,22,Female,Divorced,Bachelor,Sales,Sales Executive,2/15/2014,11,14,Full-time,"Kubernetes, React, Vue.js, AWS, Docker",Yes,Q1/2025,3.9,API Development,64.2,57,No,No,2,1,Low,No
E0127,34,Male,Married,Bachelor,QA,Test Analyst,4/27/2016,9,10,Full-time,"Python, Angular",Yes,Q1/2025,4.2,Cloud Migration,77.5,21,No,No,4,5,Medium,No
E0128,33,Male,Single,Bachelor,IT,System Admin,1/7/2017,8,10,Full-time,"Docker, Java, AWS, React, GCP",Yes,Q1/2025,2.9,Cloud Migration,80.3,33,No,Yes,4,2,Low,No
E0129,31,Male,Single,Bachelor,IT,System Admin,3/2/2011,14,15,Contractor,"Azure, NoSQL, React, Kubernetes, Java",Yes,Q1/2025,3.0,DevOps Automation,38.4,52,No,Yes,3,4,Low,No
E0130,25,Female,Married,PhD,HR,Recruiter,2/12/2015,10,13,Full-time,"Kubernetes, Vue.js, C#",No,Q1/2025,4.2,Web Application Development,47.2,49,No,No,3,4,Low,No
E0131,40,Female,Single,Master,HR,HR Executive,5/3/2017,8,8,Full-time,"SQL, React, Kubernetes, Angular, Java",No,Q1/2025,3.6,Cloud Migration,80.5,26,No,No,3,2,Medium,Yes
E0132,32,Female,Single,PhD,Marketing,Business Analyst,4/28/2014,11,11,Full-time,"AWS, Python, Vue.js, NoSQL, Java",Yes,Q1/2025,3.5,Cloud Migration,81.5,38,No,No,5,4,High,No
E0133,29,Male,Married,Bachelor,IT,System Admin,4/18/2011,14,14,Full-time,"Kubernetes, Vue.js, Docker",Yes,Q1/2025,3.2,DevOps Automation,49.5,52,No,Yes,3,4,High,No
